"orig_index","cc_num","merchant","category","amt","lat","long","city_pop","unix_time","trans_date_trans_time","is_fraud","card_7d_tx_count","card_30d_tx_count","card_7d_amt_sum","merch_7d_tx_count","merch_30d_tx_count","merch_amt_sum_day","node_degree_card","node_degree_merchant","node_comp_size","node_pagerank_card","node_pagerank_merch","node_eig_card","node_eig_merch","node_clust_card","node_clust_merch","node_core_card","node_core_merch","node_neighbor_fraud_card","node_neighbor_fraud_merch"
"0","4000000000000000","fraud_Kilback LLC","grocery_pos","5.00","40.7128","-74.0060","8419000","1704049200","2023-12-31 19:00:00","1","1","1","5.00","1","1","5.00","1","1","2","0.0300","0.0400","0.0200","0.0200","0.00","0.10","1","2","0.00","0.20"
"1","4000000000000001","fraud_Ruecker Group","personal_care","5.54","34.0522","-118.2437","3980000","1704049740","2023-12-31 19:09:00","0","2","3","14.22","4","9","26.41","2","3","5","0.0320","0.0549","0.0300","0.0700","0.10","0.20","2","3","0.10","0.30"
"2","4000000000000002","fraud_Stokes and Sons","grocery_pos","6.08","41.8781","-87.6298","2746000","1704050280","2023-12-31 19:18:00","0","3","5","24.52","7","17","51.06","3","5","8","0.0340","0.0698","0.0400","0.1200","0.20","0.30","3","1","0.20","0.40"
"3","4000000000000003","fraud_Bahringer Group","personal_care","6.62","29.7604","-95.3698","2328000","1704050820","2023-12-31 19:27:00","0","4","7","35.90","2","17","25.99","4","7","11","0.0360","0.0847","0.0500","0.1700","0.00","0.00","1","2","0.30","0.00"
"4","4000000000000004","fraud_Haley Ltd","grocery_pos","7.16","39.9526","-75.1652","1600000","1704051360","2023-12-31 19:36:00","0","5","9","48.36","5","7","52.80","5","2","14","0.0380","0.0996","0.0600","0.2200","0.10","0.10","2","3","0.40","0.10"
"5","4000000000000005","fraud_McDermott PLC","personal_care","7.70","33.4484","-112.0740","1625000","1704051900","2023-12-31 19:45:00","0","6","11","61.90","8","15","61.60","6","4","17","0.0400","0.1145","0.0700","0.2700","0.20","0.20","3","1","0.00","0.20"
"6","4000000000000006","fraud_Lynch-Wisozk","grocery_pos","8.24","32.7767","-96.7970","1304000","1704052440","2023-12-31 19:54:00","0","7","13","76.52","3","15","28.97","1","6","2","0.0420","0.1294","0.0800","0.3200","0.00","0.30","1","2","0.10","0.30"
"7","4000000000000007","fraud_Huels-Nolan","personal_care","8.78","47.6062","-122.3321","737000","1704052980","2023-12-31 20:03:00","0","8","15","70.24","6","23","61.18","2","1","5","0.0440","0.1443","0.0900","0.3700","0.10","0.00","2","3","0.20","0.40"
"8","4000000000000008","fraud_Schmeler Inc","grocery_pos","9.32","40.7128","-74.0060","8419000","1704053520","2023-12-31 20:12:00","0","9","17","87.02","1","5","22.07","3","3","8","0.0460","0.1591","0.1000","0.4200","0.20","0.10","3","1","0.30","0.00"
"9","4000000000000009","fraud_Heathcote LLC","personal_care","9.86","34.0522","-118.2437","3980000","1704054060","2023-12-31 20:21:00","0","1","10","16.14","4","13","56.44","4","5","11","0.0480","0.1740","0.1100","0.4700","0.00","0.20","1","2","0.40","0.10"
"10","4000000000000010","fraud_Kilback LLC","grocery_pos","10.40","41.8781","-87.6298","2746000","1704054600","2023-12-31 20:30:00","0","2","12","30.22","7","21","72.80","5","7","14","0.0500","0.1889","0.1200","0.0500","0.10","0.30","2","3","0.00","0.20"
"11","4000000000000011","fraud_Ruecker Group","misc_net","10.94","29.7604","-95.3698","2328000","1704055140","2023-12-31 20:39:00","0","3","14","45.38","2","3","26.13","6","2","17","0.0520","0.2038","0.1300","0.1000","0.20","0.00","3","1","0.10","0.30"
"12","4000000000000012","fraud_Stokes and Sons","shopping_net","11.48","39.9526","-75.1652","1600000","1704055680","2023-12-31 20:48:00","0","4","16","61.62","5","11","65.90","1","4","2","0.0540","0.2187","0.1400","0.1500","0.00","0.10","1","2","0.20","0.40"
"13","4000000000000013","fraud_Bahringer Group","misc_net","9.81","33.4484","-112.0740","1625000","1704056220","2023-12-31 20:57:00","0","5","18","67.89","8","19","91.23","2","6","5","0.0560","0.0443","0.1500","0.2000","0.10","0.20","2","3","0.30","0.00"
"14","4000000000000014","fraud_Haley Ltd","shopping_net","10.35","32.7767","-96.7970","1304000","1704056760","2023-12-31 21:06:00","0","6","20","62.10","3","19","48.05","3","1","8","0.0580","0.0591","0.1600","0.2500","0.20","0.30","3","1","0.40","0.10"
"15","4000000000000015","fraud_McDermott PLC","misc_net","10.89","47.6062","-122.3321","737000","1704057300","2023-12-31 21:15:00","0","7","22","79.37","6","9","65.34","4","3","11","0.0600","0.0740","0.1700","0.3000","0.00","0.00","1","2","0.00","0.20"
"16","4000000000000016","fraud_Lynch-Wisozk","shopping_net","11.43","40.7128","-74.0060","8419000","1704057840","2023-12-31 21:24:00","0","8","24","97.72","1","9","15.68","5","5","14","0.0620","0.0889","0.1800","0.3500","0.10","0.10","2","3","0.10","0.30"
"17","4000000000000017","fraud_Huels-Nolan","misc_net","11.97","34.0522","-118.2437","3980000","1704058380","2023-12-31 21:33:00","1","9","26","117.15","4","17","56.38","6","7","17","0.0640","0.1038","0.1900","0.4000","0.20","0.20","3","1","0.20","0.40"
"18","4000000000000018","fraud_Schmeler Inc","shopping_net","12.51","41.8781","-87.6298","2746000","1704058920","2023-12-31 21:42:00","0","1","19","25.07","7","7","100.32","1","2","2","0.0660","0.1187","0.2000","0.4500","0.00","0.30","1","2","0.30","0.00"
"19","4000000000000019","fraud_Heathcote LLC","misc_net","13.05","29.7604","-95.3698","2328000","1704059460","2023-12-31 21:51:00","0","2","21","41.80","2","7","43.10","2","4","5","0.0680","0.1336","0.2100","0.0300","0.10","0.00","2","3","0.40","0.10"
"20","4000000000000020","fraud_Kilback LLC","shopping_net","13.59","39.9526","-75.1652","1600000","1704060000","2023-12-31 22:00:00","0","3","23","59.61","5","15","67.95","3","6","8","0.0700","0.1485","0.2200","0.0800","0.20","0.10","3","1","0.00","0.20"
